✅ or ❌,page,initials,date
,urn:cite2:hmt:msA.v1:143v,,
,urn:cite2:hmt:msA.v1:144r,,
,urn:cite2:hmt:msA.v1:144v,,
,urn:cite2:hmt:msA.v1:145r,,
,urn:cite2:hmt:msA.v1:145v,,
,urn:cite2:hmt:msA.v1:146r,,
,urn:cite2:hmt:msA.v1:146v,,
,urn:cite2:hmt:msA.v1:147r,,
,urn:cite2:hmt:msA.v1:147v,,
,urn:cite2:hmt:msA.v1:148r,,
,urn:cite2:hmt:msA.v1:148v,,
,urn:cite2:hmt:msA.v1:149r,,
,urn:cite2:hmt:msA.v1:149v,,
,urn:cite2:hmt:msA.v1:150r,,
,urn:cite2:hmt:msA.v1:150v,,
,urn:cite2:hmt:msA.v1:151r,,
,urn:cite2:hmt:msA.v1:151v,,
,urn:cite2:hmt:msA.v1:152r,,
,urn:cite2:hmt:msA.v1:152v,,
,urn:cite2:hmt:msA.v1:153r,,
,urn:cite2:hmt:msA.v1:153v,,
,urn:cite2:hmt:msA.v1:154r,,
,urn:cite2:hmt:msA.v1:154v,,
,urn:cite2:hmt:msA.v1:155r,,
,urn:cite2:hmt:msA.v1:155v,,
,urn:cite2:hmt:msA.v1:156r,,
,urn:cite2:hmt:msA.v1:156v,,
,urn:cite2:hmt:msA.v1:157r,,
,urn:cite2:hmt:msA.v1:157v,,
,urn:cite2:hmt:msA.v1:158r,,
,urn:cite2:hmt:msA.v1:158v,,
,urn:cite2:hmt:msA.v1:159r,,
,urn:cite2:hmt:msA.v1:159v,,
,urn:cite2:hmt:msA.v1:160r,,
,urn:cite2:hmt:msA.v1:160v,,
,urn:cite2:hmt:msA.v1:161r,,
,urn:cite2:hmt:msA.v1:161v,,
,urn:cite2:hmt:msA.v1:162r,,
,urn:cite2:hmt:msA.v1:162v,,
,urn:cite2:hmt:msA.v1:163r,,
,urn:cite2:hmt:msA.v1:163v,,
,urn:cite2:hmt:msA.v1:164r,,
,urn:cite2:hmt:msA.v1:164v,,
,urn:cite2:hmt:msA.v1:165r,,
,urn:cite2:hmt:msA.v1:165v,,
,urn:cite2:hmt:msA.v1:166r,,
,urn:cite2:hmt:msA.v1:166v,,
,urn:cite2:hmt:msA.v1:167r,,
,urn:cite2:hmt:msA.v1:167v,,
,urn:cite2:hmt:msA.v1:168r,,
,urn:cite2:hmt:msA.v1:168v,,
,urn:cite2:hmt:msA.v1:169r,,
,urn:cite2:hmt:msA.v1:169v,,
,urn:cite2:hmt:msA.v1:170r,,
,urn:cite2:hmt:msA.v1:170v,,
,urn:cite2:hmt:msA.v1:171r,,
,urn:cite2:hmt:msA.v1:171v,,
,urn:cite2:hmt:msA.v1:172r,,
,urn:cite2:hmt:msA.v1:172v,,
,urn:cite2:hmt:msA.v1:173r,,
,urn:cite2:hmt:msA.v1:173v,,
,urn:cite2:hmt:msA.v1:174r,,
,urn:cite2:hmt:msA.v1:174v,,
,urn:cite2:hmt:msA.v1:175r,,
